"LabelName",DisplayName
"/m/0c3mkw","Soap dispenser"
"/m/0h8nsvg","Facial tissue holder"
"/m/012ysf","Syringe"
"/m/02lbcq","Stretcher"
"/m/073g6","Stethoscope"
"/m/0j496","Band-aid"
"/m/013y1f","Organ (Musical Instrument)"
"/m/018j2","Banjo"
"/m/01xqw","Cello"
"/m/026t6","Drum"
"/m/0319l","French horn"
"/m/0342h","Guitar"
"/m/03m5k","Harp"
"/m/03q5t","Harpsichord"
"/m/03qjg","Harmonica"
"/m/057cc","Musical keyboard"
"/m/05kms","Oboe"
"/m/05r5c","Piano"
"/m/06ncr","Saxophone"
"/m/07c6l","Trombone"
"/m/07gql","Trumpet"
"/m/07y_7","Violin"
"/m/0f8s22","Chime"
"/m/0l14j_","Flute"
"/m/0mkg","Accordion"
"/m/0xzly","Maraca"
"/m/01226z","Football"
"/m/02ctlc","Cricket ball"
"/m/02rgn06","Volleyball (Ball)"
"/m/05ctyq","Tennis ball"
"/m/0wdt60w","Rugby ball"
"/m/0h8my_4","Tennis racket"
"/m/05_5p_0","Table tennis racket"
"/m/03p3bw","Bicycle helmet"
"/m/07qxg_","Football helmet"
"/m/02jnhm","Tin can"
"/m/02zn6n","Barrel"
"/m/04dr76w","Bottle"
"/m/07kng9","Picnic basket"
"/m/08hvt4","Jug"
"/m/0bjyj5","Waste container"
"/m/0d20w4","Beaker"
"/m/0fm3zh","Flowerpot"
"/m/01_5g","Chopsticks"
"/m/027rl48","Ladle"
"/m/02d1br","Spatula"
"/m/02mqfb","Can opener"
"/m/02pdsw","Cutting board"
"/m/02vwcm","Whisk"
"/m/03v5tg","Drinking straw"
"/m/04ctx","Knife"
"/m/04f5ws","Bottle opener"
"/m/07v9_z","Measuring cup"
"/m/08ks85","Pizza cutter"
"/m/0cmx8","Spoon"
"/m/0dt3t","Fork"
"/m/01g3x7","Bow and arrow"
"/m/020kz","Cannon"
"/m/02gzp","Dagger"
"/m/04ctx","Knife"
"/m/06c54","Rifle"
"/m/06nrc","Shotgun"
"/m/07cmd","Tank"
"/m/0c2jj","Axe"
"/m/0gxl3","Handgun"
"/m/06y5r","Sword"
"/m/04ylt","Missile"
"/m/0ct4f","Bomb"
"/m/050k8","Mobile phone"
"/m/0h8lkj8","Corded phone"
"/m/014sv8","Human eye"
"/m/016m2d","Skull"
"/m/04hgtk","Human head"
"/m/0dzct","Human face"
"/m/0283dt1","Human mouth"
"/m/039xj_","Human ear"
"/m/0k0pj","Human nose"
"/m/03q69","Human hair"
"/m/0k65p","Human hand"
"/m/031n1","Human foot"
"/m/0dzf4","Human arm"
"/m/035r7c","Human leg"
"/m/015h_t","Beard"
"/m/01b9xk","Hot dog"
"/m/02y6n","French fries"
"/m/01f91_","Pretzel"
"/m/01hrv5","Popcorn"
"/m/021mn","Cookie"
"/m/01tcjp","Muffin"
"/m/021mn","Cookie"
"/m/0cxn2","Ice cream"
"/m/0fszt","Cake"
"/m/0gm28","Candy"
"/m/014j1m","Apple"
"/m/0388q","Grape"
"/m/043nyj","Common fig"
"/m/061_f","Pear"
"/m/07fbm7","Strawberry"
"/m/07j87","Tomato"
"/m/09k_b","Lemon (plant)"
"/m/09qck","Banana"
"/m/0cyhj_","Orange (fruit)"
"/m/0dj6p","Peach"
"/m/0fldg","Mango"
"/m/0fp6w","Pineapple"
"/m/0hqkz","Grapefruit"
"/m/0jwn_","Pomegranate"
"/m/0kpqd","Watermelon"
"/m/0kpt_","Cantaloupe"
"/m/0jy4k","Doughnut"
"/m/015wgc","Croissant"
"/m/02zvsm","Tart"
"/m/0_cp5","Oyster"
"/m/0cjq5","Lobster"
"/m/0ll1f78","Shrimp"
"/m/0n28_","Crab"
"/m/05zsy","Pumpkin"
"/m/027pcv","Zucchini"
"/m/0cdn1","Hamburger"
"/m/06pcq","Submarine sandwich"
"/m/01nkt","Cheese"
"/m/04zpv","Milk"
"/m/025nd","Christmas tree"
"/m/0cdl1","Palm tree"
"/m/0cffdh","Maple"
"/m/0mw_6","Willow"
"/m/04gth","Lavender (Plant)"
"/m/06m11","Rose"
"/m/0ftb8","Common sunflower"
"/m/0jqgx","Lily"
"/m/01lcw4","Limousine"
"/m/0h2r6","Van"
"/m/01jfm_","Vehicle registration plate"
"/m/083wq","Wheel"
"/m/0dkzw","Seat belt"
"/m/0h9mv","Tire"
"/m/01btn","Barge"
"/m/02068x","Gondola"
"/m/0ph39","Canoe"
"/m/09ct_","Helicopter"
"/m/0cmf2","Fixed-wing aircraft"
"/m/09rvcxw","Rocket"
"/m/025rp__","Cowboy hat"
"/m/02fq_6","Fedora"
"/m/02jfl0","Sombrero"
"/m/02wbtzl","Sun hat"
"/m/025rp__","Cowboy hat"
"/m/02fq_6","Fedora"
"/m/02jfl0","Sombrero"
"/m/02wbtzl","Sun hat"
"/m/02p3w7d","Roller skates"
"/m/01b638","Boot"
"/m/06k2mb","High heels"
"/m/03nfch","Sandal"
"/m/01940j","Backpack"
"/m/01s55n","Suitcase"
"/m/0584n8","Briefcase"
"/m/080hkjn","Handbag"
"/m/03p3bw","Bicycle helmet"
"/m/07qxg_","Football helmet"
"/m/012074","Magpie"
"/m/01dy8n","Woodpecker"
"/m/01f8m5","Blue jay"
"/m/05n4y","Ostrich"
"/m/05z6w","Penguin"
"/m/06j2d","Raven"
"/m/09b5t","Chicken"
"/m/09csl","Eagle"
"/m/09d5_","Owl"
"/m/09ddx","Duck"
"/m/0ccs93","Canary"
"/m/0dbvp","Goose"
"/m/0dftk","Swan"
"/m/0f6wt","Falcon"
"/m/0gv1x","Parrot"
"/m/0h23m","Sparrow"
"/m/0jly1","Turkey"
"/m/01h8tj","Starfish"
"/m/035vxb","Isopod"
"/m/09gys","Squid"
"/m/0cjq5","Lobster"
"/m/0d8zb","Jellyfish"
"/m/0ll1f78","Shrimp"
"/m/0n28_","Crab"
"/m/0cydv","Caterpillar"
"/m/0cyf8","Butterfly"
"/m/01dxs","Brown bear"
"/m/03bj1","Panda"
"/m/0633h","Polar bear"
"/m/0kmg4","Teddy bear"
"/m/02hj4","Dolphin"
"/m/084zz","Whale"
"/m/0gd36","Sea lion"
"/m/02l8p9","Harbor seal"
"/m/011k07","Tortoise"
"/m/0120dh","Sea turtle"
"/m/03fj2","Goldfish"
"/m/0by6g","Shark"
"/m/0m53l","Rays and skates"
"/m/0nybt","Seahorse"
"/m/0_cp5","Oyster"
"/m/0cjq5","Lobster"
"/m/0ll1f78","Shrimp"
"/m/0n28_","Crab"
"/m/02xb7qb","Face powder"
"/m/05w9t9","Hair spray"
"/m/06c7f7","Lipstick"
"/m/0p833","Perfume"
"/m/012xff","Toothbrush"
"/m/017ftj","Sunglasses"
"/m/02_n6y","Goggles"
"/m/05441v","Crutch"
"/m/08p92x","Cream"
"/m/0f571","Diaper"
"/m/0jyfg","Glasses"
"/m/0qmmr","Wheelchair"
"/m/012ysf","Syringe"
"/m/02lbcq","Stretcher"
"/m/073g6","Stethoscope"
"/m/0j496","Band-aid"
"/m/013y1f","Organ (Musical Instrument)"
"/m/018j2","Banjo"
"/m/01xqw","Cello"
"/m/026t6","Drum"
"/m/0319l","French horn"
"/m/0342h","Guitar"
"/m/03m5k","Harp"
"/m/03q5t","Harpsichord"
"/m/03qjg","Harmonica"
"/m/057cc","Musical keyboard"
"/m/05kms","Oboe"
"/m/05r5c","Piano"
"/m/06ncr","Saxophone"
"/m/07c6l","Trombone"
"/m/07gql","Trumpet"
"/m/07y_7","Violin"
"/m/0f8s22","Chime"
"/m/0l14j_","Flute"
"/m/0mkg","Accordion"
"/m/0xzly","Maraca"
"/m/01226z","Football"
"/m/02ctlc","Cricket ball"
"/m/02rgn06","Volleyball (Ball)"
"/m/05ctyq","Tennis ball"
"/m/0wdt60w","Rugby ball"
"/m/0h8my_4","Tennis racket"
"/m/05_5p_0","Table tennis racket"
"/m/03p3bw","Bicycle helmet"
"/m/07qxg_","Football helmet"
"/m/02jnhm","Tin can"
"/m/02zn6n","Barrel"
"/m/04dr76w","Bottle"
"/m/07kng9","Picnic basket"
"/m/08hvt4","Jug"
"/m/0bjyj5","Waste container"
"/m/0d20w4","Beaker"
"/m/0fm3zh","Flowerpot"
"/m/01_5g","Chopsticks"
"/m/027rl48","Ladle"
"/m/02d1br","Spatula"
"/m/02mqfb","Can opener"
"/m/02pdsw","Cutting board"
"/m/02vwcm","Whisk"
"/m/03v5tg","Drinking straw"
"/m/04ctx","Knife"
"/m/04f5ws","Bottle opener"
"/m/07v9_z","Measuring cup"
"/m/08ks85","Pizza cutter"
"/m/0cmx8","Spoon"
"/m/0dt3t","Fork"
"/m/01g3x7","Bow and arrow"
"/m/020kz","Cannon"
"/m/02gzp","Dagger"
"/m/04ctx","Knife"
"/m/06c54","Rifle"
"/m/06nrc","Shotgun"
"/m/07cmd","Tank"
"/m/0c2jj","Axe"
"/m/0gxl3","Handgun"
"/m/06y5r","Sword"
"/m/04ylt","Missile"
"/m/0ct4f","Bomb"
"/m/050k8","Mobile phone"
"/m/0h8lkj8","Corded phone"
"/m/01599","Beer"
"/m/024g6","Cocktail"
"/m/02vqfm","Coffee (drink)"
"/m/01z1kdw","Juice"
"/m/07clx","Tea"
"/m/081qc","Wine"
"/m/014sv8","Human eye"
"/m/016m2d","Skull"
"/m/04hgtk","Human head"
"/m/0dzct","Human face"
"/m/0283dt1","Human mouth"
"/m/039xj_","Human ear"
"/m/0k0pj","Human nose"
"/m/03q69","Human hair"
"/m/0k65p","Human hand"
"/m/031n1","Human foot"
"/m/0dzf4","Human arm"
"/m/035r7c","Human leg"
"/m/015h_t","Beard"
"/m/01jfm_","Vehicle registration plate"
"/m/083wq","Wheel"
"/m/0dkzw","Seat belt"
"/m/0h9mv","Tire"
